,y
0,1.023292992280753e+17
1,3.069878976842259e+17
2,9.209636930526778e+17
3,2.7628910791580334e+18
4,1.3814455395790167e+18
5,6.907227697895084e+17
6,2.072168309368525e+18
7,1.0360841546842625e+18
8,5.1804207734213126e+17
9,1.5541262320263939e+18
10,7.770631160131969e+17
11,2.331189348039591e+18
12,1.1655946740197955e+18
13,5.827973370098977e+17
14,1.7483920110296932e+18
15,8.741960055148466e+17
16,2.6225880165445396e+18
17,1.3112940082722698e+18
18,6.556470041361349e+17
19,1.9669410124084047e+18
20,9.834705062042024e+17
21,2.950411518612607e+18
22,1.4752057593063035e+18
23,7.376028796531517e+17
24,2.2128086389594552e+18
25,1.1064043194797276e+18
26,5.532021597398638e+17
27,1.6596064792195914e+18
28,8.298032396097957e+17
29,2.4894097188293873e+18
30,1.2447048594146936e+18
31,6.223524297073468e+17
32,1.8670572891220403e+18
33,9.335286445610202e+17
34,2.8005859336830607e+18
